admin3Pcod,admin3Name,admin2Pcod,admin1Pcod,admin0Pcod,area,agg_level,agg_title,year,flood_pop,flood_pop_s,wrsi_75,wrsi_90,wrsi_75_long,wrsi_90_long,pop_wp,pop_dens_wp,city_mtr,conf_count,conf_pop_buffer,conf_share,pov_2021_22_std,number_poor_2021_22_std,ipc_p_2019_2023_std,pti_need,pti_access
NER005006001,Garhanga,NER005006,NER005,NE,709.2495806657977,admin3,Commune,NA,-0.3057951311230185,-0.430581813908043,NA,NA,NA,-0.587734612428191,0.10602885637053729,0.39070010325365206,-0.29239285553151584,-0.2635148006262484,NA,NA,0.08273959009256064,0.5592008771364967,0.30857729398302003,-0.34210611741857777,0.4598072589271189
NER005006002,Ibohamane,NER005006,NER005,NE,1341.7126279644392,admin3,Commune,NA,-0.20884941663519987,-0.482946188415255,NA,-0.13736667687737403,-0.26333589651341377,0.49045440071593877,0.5842200092847283,0.020535085880431996,-0.16156706720591713,-0.31246377895486716,NA,NA,0.08273959009256064,0.5592008771364967,0.30857729398302003,0.14116726999767557,0.2402315038194951
NER005006003,Keita,NER005006,NER005,NE,719.6917463906702,admin3,Commune,NA,-0.1067551108276857,-0.20217536949778664,NA,-0.13736667687737403,-0.26333589651341377,1.5686434138600687,0.044974114885822813,0.2217911541799993,-0.5213502988751418,-0.2635148006262484,NA,NA,0.08273959009256064,0.5592008771364967,0.30857729398302003,0.7813830502266416,0.4889753417771316
NER005006004,Tamaské,NER005006,NER005,NE,824.5213318320715,admin3,Commune,NA,-0.19030055875745663,-0.582666201788712,NA,-0.13736667687737403,-0.26333589651341377,1.5686434138600687,1.1530813933902866,0.9114612297066231,-0.6174327087679283,-0.31246377895486716,NA,NA,0.08273959009256064,0.5592008771364967,0.30857729398302003,0.6021310743271349,0.8944249995182388
NER005007001,Azarori,NER005007,NER005,NE,203.79194633019054,admin3,Commune,NA,-0.7546356485665482,-0.466287297349798,NA,NA,NA,-0.587734612428191,-1.1794456328356888,0.8382290214388894,-0.44141184394428473,-0.36141275728348593,NA,NA,0.08273959009256064,0.5592008771364967,-0.4271677864071927,-0.7055420431754855,0.7971288640819428
NER005007002,Bangui,NER005007,NER005,NE,1285.4071864149917,admin3,Commune,NA,1.9230925377835582,0.3760327540425487,NA,NA,NA,-0.587734612428191,1.8841100436939082,0.42301664897001023,-0.09230758325937652,-0.01876990898315458,NA,NA,0.08273959009256064,0.5592008771364967,-0.4271677864071927,-0.3087189905863857,0.25943201990301623
NER005007003,Galma Koudawatché,NER005007,NER005,NE,346.21186179853345,admin3,Commune,NA,-0.5679657858439532,-0.6199539244724973,NA,NA,NA,-0.587734612428191,-0.207099059625229,1.319574202513029,-0.6227774403649128,-0.36141275728348593,NA,NA,0.08273959009256064,0.5592008771364967,-0.4271677864071927,-0.7779354997423851,1.1190354014325323
NER005007004,Madaoua,NER005007,NER005,NE,778.4272260763134,admin3,Commune,NA,0.6127278639538447,-0.19806147119282932,NA,NA,NA,-0.587734612428191,1.55400144709535,0.8780980316178272,-0.5334763204406991,-0.36141275728348593,NA,NA,0.08273959009256064,0.5592008771364967,-0.4271677864071927,-0.5791789215296215,0.8612145154679097
NER005007005,Ourno,NER005007,NER005,NE,1194.7358566822734,admin3,Commune,NA,-0.5069074871531422,-0.7493867703527864,NA,NA,NA,-0.587734612428191,0.8354423123828162,0.17536533760441433,0.6325062672865036,-0.36141275728348593,NA,NA,0.08273959009256064,0.5592008771364967,-0.4271677864071927,-0.838912247146902,-0.046499205309782354
NER005007006,Sabon Guida,NER005007,NER005,NE,696.7956007306907,admin3,Commune,NA,1.4599569928401694,0.5703905522656804,NA,NA,NA,-0.587734612428191,0.9476106320337969,0.538656160940271,-0.40005341877583817,-0.36141275728348593,NA,NA,0.08273959009256064,0.5592008771364967,-0.4271677864071927,-0.2171556297736976,0.6315241789454679
